Speaker_code	Hometown	Sex	Age_1	Clan	Sub_clan	Orator	Token_ID	Word	Word_class	Nasal_drop	Fol_seg	Tense	Subj_person	Syllabicity	Word_class	Genre
CTN	Limol	M	30-45	Yamkong		N	19	allan	auxiliary	0	##	prs	1			
CTN	Limol	M	30-45	Yamkong		N	26	dan	copula	n	##	prs	3			
CTN	Limol	M	30-45	Yamkong		N	28	gogon	auxiliary	0	C	rem	3			
CTN	Limol	M	30-45	Yamkong		N	29	gogon	auxiliary	n	##	rem	3			
CTN	Limol	M	30-45	Yamkong		N	31	gogon	auxiliary	0	C	rem	3			
CTN	Limol	M	30-45	Yamkong		N	35	bogon	auxiliary	0	##	fut	3			
CTN	Limol	M	30-45	Yamkong		N	38	dan	copula	0	V	prs	3			
CTN	Limol	M	30-45	Yamkong		N	43	dan	copula	0	C	prs	3			
CTN	Limol	M	30-45	Yamkong		N	44	dan	copula	0	C	prs	3			
CTN	Limol	M	30-45	Yamkong		N	55	dan	copula	0	C	prs	3			
CTN	Limol	M	30-45	Yamkong		N	57	allan	auxiliary	0	C	prs	1			
CTN	Limol	M	30-45	Yamkong		N	58	dan	copula	0	##	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	8	dan	copula	n	#	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	11	dan	copula	n	C	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	29	allan	auxiliary	0	##	prs	1			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	30	dan	copula	0	C	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	31	dan	copula	0	C	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	37	allan	auxiliary	n	#	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	39	dan	copula	n	C	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	40	dan	copula	n	##	prs	1			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	50	dan	copula	0	#	prs	1			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	56	bogon	auxiliary	n	V	fut	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	66	dan	copula	0	#	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	71	gogon	auxiliary	n	#	rem	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	75	gogon	auxiliary	n	#	rem	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	77	dan	copula	0	V	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	94	gogon	auxiliary	n	##	rem	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	104	dan	copula	0	C	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	105	dan	copula	n	#	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	108	dan	copula	0	C	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	119	dan	copula	0	##	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	123	bogon	auxiliary	n	#	fut	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	124	bogon	auxiliary	0	V	fut	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	128	dan	copula	n	##	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	131	dan	copula	0	##	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	135	dan	copula	n	##	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	152	allan	auxiliary	0	##	prs	1			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	158	dan	copula	n	##	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	160	dan	copula	0	C	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	161	dan	copula	0	C	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	162	dan	copula	0	C	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	171	dan	copula	n	##	prs	3			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	174	allan	auxiliary	n	V	prs	1			
DDK	Limol	M	30-45	Yamkong	Bobeag	N	187	agan	auxiliary	n	#	rec	1			
DKS	Limol	F	62+	Dd?liag	Wedag	N	25	dan	copula	0	C	prs	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	35	dan	copula	0	V	prs	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	67	dan	copula	n	C	prs	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	68	dan	copula	n	V	prs	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	69	dan	copula	0	C	prs	3			
DKS	Limol	F	62+	Dd?liag	Wedag	N	75	allan	auxiliary	0	C	prs	1			
DKS	Limol	F	62+	Dd?liag	Wedag	N	100	dan	copula	0	#	prs	3			
